source=mock_fixture; label=Simulated no-hardware demo fixture; boundary=No hardware - simulated fixture; not live hardware validation.
freq_hz	gain_linear	gain_db	phase_deg	gain_db_raw	phase_deg_raw	gain_db_reference	phase_deg_reference	gain_db_corrected	phase_deg_corrected
3.542385117759400146e+03	1.065736216813201853e+00	5.529944923336171936e-01	-1.211702341971363284e+00	3.393230798459250241e-01	-3.430578618694914539e+00	-2.136714124876921694e-01	-2.218876276723551477e+00	5.529944923336171936e-01	-1.211702341971363284e+00
3.904354974340707031e+03	1.089058747021498297e+00	7.410261501038538645e-01	-1.253677446818779018e+00	4.596566852495993505e-01	-3.429830689267944877e+00	-2.813694648542545140e-01	-2.176153242449165859e+00	7.410261501038538645e-01	-1.253677446818779018e+00
4.303311824915583202e+03	1.092445524336710383e+00	7.679957948660430800e-01	-1.314578942616869028e+00	4.878038112429484707e-01	-3.519503864137126570e+00	-2.801919836230946093e-01	-2.204924921520257541e+00	7.679957948660430800e-01	-1.314578942616869028e+00
4.743035093930038784e+03	1.094195762263741267e+00	7.819005691098198652e-01	-2.255642014219865654e+00	4.439744713274514920e-01	-4.964344873018285753e+00	-3.379260977823683731e-01	-2.708702858798419655e+00	7.819005691098198652e-01	-2.255642014219865654e+00
5.227690396963792409e+03	1.113481978314133425e+00	9.336638475706285911e-01	-2.937979232218159709e+00	5.907459575445023203e-01	-5.513333898170721170e+00	-3.429178900261262708e-01	-2.575354665952561017e+00	9.336638475706285911e-01	-2.937979232218159709e+00
5.761869002715535316e+03	1.114294387219637583e+00	9.399988590342265304e-01	-3.331738304994060318e+00	5.920579254992557328e-01	-6.303386495242095933e+00	-3.479409335349707977e-01	-2.971648190248036059e+00	9.399988590342265304e-01	-3.331738304994060318e+00
6.350631327313489237e+03	1.104371220851724678e+00	8.623016140322844469e-01	-3.267968251772770838e+00	4.936827184725006146e-01	-6.329096987452625278e+00	-3.686188955597838324e-01	-3.061128735679854440e+00	8.623016140322844469e-01	-3.267968251772770838e+00
6.999554872984420399e+03	1.103029424031143790e+00	8.517419536799594182e-01	-4.086427233317031948e+00	4.671322967052247144e-01	-7.303746444199445520e+00	-3.846096569747347038e-01	-3.217319210882413127e+00	8.517419536799594182e-01	-4.086427233317031948e+00
7.714787065217010422e+03	1.101666282512873574e+00	8.410011532489789499e-01	-4.777422730008642482e+00	4.044996266781657468e-01	-8.256281715356259099e+00	-4.365015265708132031e-01	-3.478858985347616173e+00	8.410011532489789499e-01	-4.777422730008642482e+00
8.503103488959834067e+03	1.076695901866445260e+00	6.418612007780042372e-01	-4.968323449367176181e+00	1.897447616008566817e-01	-8.517827909545058418e+00	-4.521164391771475555e-01	-3.549504460177882681e+00	6.418612007780042372e-01	-4.968323449367176181e+00
9.371972075541283630e+03	1.074443414150529463e+00	6.236709638961023261e-01	-4.879980959911256910e+00	1.785690864081070917e-01	-8.487607615151482321e+00	-4.451018774879952344e-01	-3.607626655240224522e+00	6.236709638961023261e-01	-4.879980959911256910e+00
1.032962384837094214e+04	1.072612697301759122e+00	6.088586743841727378e-01	-5.590027081144349985e+00	1.492392766572561147e-01	-9.542276780673372372e+00	-4.596193977269166231e-01	-3.952249699529022831e+00	6.088586743841727378e-01	-5.590027081144349985e+00
1.138513089761536867e+04	1.073400813677326981e+00	6.152384032468877217e-01	-6.280990557008164998e+00	1.710926878603444279e-01	-1.008558675388099424e+01	-4.441457153865432939e-01	-3.804596196872829239e+00	6.152384032468877217e-01	-6.280990557008164998e+00
1.254849232252327965e+04	1.071769579314297616e+00	6.020285207794041638e-01	-6.672734238510627414e+00	1.608321486359332031e-01	-1.088009349647833091e+01	-4.411963721434709607e-01	-4.207359257967704380e+00	6.020285207794041638e-01	-6.672734238510627414e+00
1.383072895555440664e+04	1.087787584646642269e+00	7.308819546276480450e-01	-6.584323143355444330e+00	2.711369818132596810e-01	-1.062178556246596983e+01	-4.597449728143883640e-01	-4.037462419110526390e+00	7.308819546276480450e-01	-6.584323143355444330e+00
1.524398776565902335e+04	1.111883863485521262e+00	9.211885492122282582e-01	-7.044920117346290311e+00	4.975513479643632331e-01	-1.187190375282134980e+01	-4.236372012478650251e-01	-4.826983635475059486e+00	9.211885492122282582e-01	-7.044920117346290311e+00
1.680165692974832928e+04	1.140925893909570110e+00	1.145148735667724349e+00	-7.102201014568578330e+00	7.313804346144093804e-01	-1.171280782355874095e+01	-4.137683010533149686e-01	-4.610606808990162619e+00	1.145148735667724349e+00	-7.102201014568578330e+00
1.851849266245829131e+04	1.172907374879742282e+00	1.385274340061157572e+00	-7.394773960620778297e+00	9.806030948418393844e-01	-1.218565541003184727e+01	-4.046712452193181320e-01	-4.790881449411068971e+00	1.385274340061157572e+00	-7.394773960620778297e+00
2.041075900569875012e+04	1.204600059547848989e+00	1.616857606066986142e+00	-7.613075562206706337e+00	1.178130947656903516e+00	-1.230788401811808441e+01	-4.387266584100827371e-01	-4.694808455911377187e+00	1.616857606066986142e+00	-7.613075562206706337e+00
2.249638190225193102e+04	1.245849533291298661e+00	1.909311876844176359e+00	-8.251652761201521358e+00	1.509796373314225670e+00	-1.313581072968710117e+01	-3.995155035299507440e-01	-4.884157968485580703e+00	1.909311876844176359e+00	-8.251652761201521358e+00
2.479511901300029785e+04	1.265529183972236904e+00	2.045443294776188026e+00	-8.132684308265707429e+00	1.642849541224683296e+00	-1.302510737031014543e+01	-4.025937535515048404e-01	-4.892423062044437110e+00	2.045443294776188026e+00	-8.132684308265707429e+00
2.732874688650745884e+04	1.262326154666624456e+00	2.023431612762586429e+00	-8.739020768515828763e+00	1.674140524245907979e+00	-1.378666930350021858e+01	-3.492910885166784496e-01	-5.047648534984389812e+00	2.023431612762586429e+00	-8.739020768515828763e+00
3.012126725405938123e+04	1.240950097901689642e+00	1.875086352912937571e+00	-9.843562487750446621e+00	1.531194959156892299e+00	-1.502087871659092499e+01	-3.438913937560452161e-01	-5.177316228840478374e+00	1.875086352912937571e+00	-9.843562487750446621e+00
3.319913440445411834e+04	1.214891672343167084e+00	1.690751102702978459e+00	-1.095212404046338683e+01	1.335940369145063755e+00	-1.645994732242285608e+01	-3.548107335579147037e-01	-5.507823281959469242e+00	1.690751102702978459e+00	-1.095212404046338683e+01
3.659150579252181342e+04	1.169428210448312910e+00	1.359471324731273301e+00	-1.225334306006381446e+01	1.016168837368305988e+00	-1.740299294211479264e+01	-3.433024873629672569e-01	-5.149649882050977290e+00	1.359471324731273301e+00	-1.225334306006381446e+01
4.033051825545548490e+04	1.125189852802610746e+00	1.024516139047342289e+00	-1.369249535823426989e+01	6.640002561078097720e-01	-1.931763962765455744e+01	-3.605158829395325171e-01	-5.625144269420286669e+00	1.024516139047342289e+00	-1.369249535823426989e+01
4.445159245362464571e+04	1.072537196534583348e+00	6.082472566613981169e-01	-1.653605618590731297e+01	2.418275948074052883e-01	-2.195983259295642753e+01	-3.664196618539928285e-01	-5.423776407049113679e+00	6.082472566613981169e-01	-1.653605618590731297e+01
4.899376841991994297e+04	1.032028211454675937e+00	2.738313859717131371e-01	-1.837607184953172279e+01	-6.382387242966108820e-02	-2.423122000946418453e+01	-3.376552584013742253e-01	-5.855148159932460850e+00	2.738313859717131371e-01	-1.837607184953172279e+01
5.400007539637689479e+04	1.001697746111827270e+00	1.473393165921120518e-02	-2.140572638297227570e+01	-3.919497953583512273e-01	-2.686522739231545742e+01	-4.066837270175624464e-01	-5.459501009343180833e+00	1.473393165921120518e-02	-2.140572638297227570e+01
5.951793946163969667e+04	9.690341643714757147e-01	-2.732182229382105754e-01	-2.392527084428921214e+01	-7.037382074778895102e-01	-2.966865135346926863e+01	-4.305199845396789904e-01	-5.743380509180055604e+00	-2.732182229382105754e-01	-2.392527084428921214e+01
6.559963281082890171e+04	9.310541831923521139e-01	-6.205008857066770522e-01	-2.723141261116971279e+01	-1.050373940472654422e+00	-3.325910239774873389e+01	-4.298730547659774803e-01	-6.027689786579022879e+00	-6.205008857066770522e-01	-2.723141261116971279e+01
7.230276894396090938e+04	9.143500056748429250e-01	-7.777505615537622097e-01	-2.973325098389267751e+01	-1.235648293854735513e+00	-3.548528306622328898e+01	-4.578977323009734146e-01	-5.752032082330608809e+00	-7.777505615537622097e-01	-2.973325098389267751e+01
7.969084845396914170e+04	8.956743662778601234e-01	-9.569970976774510030e-01	-3.319617413505906711e+01	-1.409890532731443047e+00	-3.901776198736163792e+01	-4.528934350539919884e-01	-5.821587852302573474e+00	-9.569970976774510030e-01	-3.319617413505906711e+01
8.783386058472558216e+04	8.724386965372864511e-01	-1.185301595477403547e+00	-3.625665014834134325e+01	-1.675543803513752428e+00	-4.225881392436049566e+01	-4.902422080363488255e-01	-6.002163776019155961e+00	-1.185301595477403547e+00	-3.625665014834134325e+01
9.680894625777755573e+04	8.421120650814954978e-01	-1.492602207821631444e+00	-3.872348803673634876e+01	-1.980322509199081482e+00	-4.489372863127560009e+01	-4.877203013774500384e-01	-6.170240594539251333e+00	-1.492602207821631444e+00	-3.872348803673634876e+01
1.067011288488334976e+05	8.048462560070621663e-01	-1.885741437230583850e+00	-4.241454984212529666e+01	-2.412459592823332777e+00	-4.857631203110761220e+01	-5.267181555927490377e-01	-6.161762188982318200e+00	-1.885741437230583850e+00	-4.241454984212529666e+01
1.176041196368325909e+05	7.825892710794579710e-01	-2.129322207238024678e+00	-4.477164971769441593e+01	-2.683678160058450057e+00	-5.075052701873499217e+01	-5.543559528204252684e-01	-5.978877301040573577e+00	-2.129322207238024678e+00	-4.477164971769441593e+01
1.296212055558361462e+05	7.352514310620851257e-01	-2.671282430555583343e+00	-4.842440672587049022e+01	-3.245256896776776756e+00	-5.463321510916946977e+01	-5.739744662211931914e-01	-6.208808383298975997e+00	-2.671282430555583343e+00	-4.842440672587049022e+01
1.428662276596490410e+05	6.856822804396959237e-01	-3.277541470564035553e+00	-5.149575162847878573e+01	-3.902381614138441535e+00	-5.765770482552202481e+01	-6.248401435744057597e-01	-6.161953197043240849e+00	-3.277541470564035553e+00	-5.149575162847878573e+01
1.574646595684260246e+05	6.396349565518293367e-01	-3.881356194866290910e+00	-5.422325861764345234e+01	-4.493499804857033375e+00	-6.047396680180035133e+01	-6.121436099907425765e-01	-6.250708184156901659e+00	-3.881356194866290910e+00	-5.422325861764345234e+01
1.735547961136752274e+05	5.951868940092687188e-01	-4.506932810067521444e+00	-5.723818531876456461e+01	-5.140026735650732093e+00	-6.370096819361365448e+01	-6.330939255832108703e-01	-6.462782874849091641e+00	-4.506932810067521444e+00	-5.723818531876456461e+01
1.912890634420110728e+05	5.518245431778371346e-01	-5.163979751306177590e+00	-5.961019130039137082e+01	-5.771588245345932400e+00	-6.610864603018450225e+01	-6.076084940397544765e-01	-6.498454729793135876e+00	-5.163979751306177590e+00	-5.961019130039137082e+01
2.108354629886173643e+05	5.097805765118310628e-01	-5.852334317877692982e+00	-6.203805285907229461e+01	-6.468461407220598147e+00	-6.858307714515038356e+01	-6.161270893429053874e-01	-6.545024286078085396e+00	-5.852334317877692982e+00	-6.203805285907229461e+01
2.323791629995620169e+05	4.773282515342687216e-01	-6.423657207402326819e+00	-6.373619097835629788e+01	-7.062680778477101740e+00	-7.047625791151421026e+01	-6.390235710747744768e-01	-6.740066933157912388e+00	-6.423657207402326819e+00	-6.373619097835629788e+01
2.561242526798836770e+05	4.371701610064753218e-01	-7.186989768503312170e+00	-6.639176317229495794e+01	-7.825228160184892090e+00	-7.341669922026079576e+01	-6.382383916815795866e-01	-7.024936047965837815e+00	-7.186989768503312170e+00	-6.639176317229495794e+01
2.822956755849599722e+05	4.030387156555060857e-01	-7.893064675790586904e+00	-6.848933732666343133e+01	-8.495775099838876798e+00	-7.553014149669358801e+01	-6.027104240482901165e-01	-7.040804170030160236e+00	-7.893064675790586904e+00	-6.848933732666343133e+01
3.111413605706858798e+05	3.741131155877411851e-01	-8.539941322401222834e+00	-7.022318319399380471e+01	-9.117331535478431448e+00	-7.725103131435764681e+01	-5.773902130772082808e-01	-7.027848120363849205e+00	-8.539941322401222834e+00	-7.022318319399380471e+01
3.429345704895214876e+05	3.474743412235450357e-01	-9.181545195661735548e+00	-7.177378474492475391e+01	-9.766828836176111750e+00	-7.902219832617592488e+01	-5.852836405143764242e-01	-7.248413581251170967e+00	-9.181545195661735548e+00	-7.177378474492475391e+01
3.779764908822359866e+05	3.181561887017307910e-01	-9.947192490964617662e+00	-7.399390484567766180e+01	-1.052613473283871492e+01	-8.141066005973138431e+01	-5.789422418740964860e-01	-7.416755214053727840e+00	-9.947192490964617662e+00	-7.399390484567766180e+01
4.165990831887118402e+05	2.930773342141498317e-01	-1.066035534780257876e+01	-7.519535305978168083e+01	-1.124634056570269180e+01	-8.255460902720352578e+01	-5.859852179001138195e-01	-7.359255967421844069e+00	-1.066035534780257876e+01	-7.519535305978168083e+01
4.591682295070269611e+05	2.706144491415212738e-01	-1.135298036948336708e+01	-7.697774723539014019e+01	-1.197679616291603466e+01	-8.470670205497533800e+01	-6.238157934326680198e-01	-7.728954819585196923e+00	-1.135298036948336708e+01	-7.697774723539014019e+01
5.060871986919681658e+05	2.448779120155100131e-01	-1.222100772930625645e+01	-7.742268365747305836e+01	-1.279242799210517845e+01	-8.522776178943183822e+01	-5.714202627989224403e-01	-7.805078131958781640e+00	-1.222100772930625645e+01	-7.742268365747305836e+01
5.578004666282426333e+05	2.213707854797041241e-01	-1.309759387891318028e+01	-7.913847218779562809e+01	-1.363148198156948965e+01	-8.704413557511446697e+01	-5.338881026563097043e-01	-7.905663387318836222e+00	-1.309759387891318028e+01	-7.913847218779562809e+01
6.147979268688501325e+05	2.014035906791078467e-01	-1.391865581981664413e+01	-7.961065083020240252e+01	-1.444463521121421223e+01	-8.759889607651427923e+01	-5.259793913975687740e-01	-7.988245246311869607e+00	-1.391865581981664413e+01	-7.961065083020240252e+01
6.776195315271151485e+05	1.811416605468122165e-01	-1.483963310693285820e+01	-8.075872934994488617e+01	-1.539604835173969377e+01	-8.913797455597530472e+01	-5.564152448068346857e-01	-8.379245206030413229e+00	-1.483963310693285820e+01	-8.075872934994488617e+01
7.468604063867910299e+05	1.643512199203315538e-01	-1.568454135915525072e+01	-8.085037213779484944e+01	-1.620660378667284007e+01	-8.931819300795213223e+01	-5.220624275175880236e-01	-8.467820870157286350e+00	-1.568454135915525072e+01	-8.085037213779484944e+01
8.231764886870343471e+05	1.491859669841658631e-01	-1.652544052761106030e+01	-8.191164183007417421e+01	-1.708233803167958698e+01	-9.034419201896045593e+01	-5.568975040685262279e-01	-8.432550188886281717e+00	-1.652544052761106030e+01	-8.191164183007417421e+01
9.072907409904699307e+05	1.340689535525289300e-01	-1.745343560804899141e+01	-8.237070704537146071e+01	-1.798405181598561953e+01	-9.113246858315658017e+01	-5.306162079366277817e-01	-8.761761537785124787e+00	-1.745343560804899141e+01	-8.237070704537146071e+01
1.000000000000000000e+06	1.214338868637889063e-01	-1.831320207669061162e+01	-8.304382503851535091e+01	-1.888698783870885478e+01	-9.179585655615504436e+01	-5.737857620182422735e-01	-8.752031517639698777e+00	-1.831320207669061162e+01	-8.304382503851535091e+01
